header
Hundreds of Palestinians flee floods in Gaza as Israel opens dams,158,agree
"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",137,unrelated
HBO and Apple in Talks for $15/Month Apple TV Streaming Service Launching in April,1034,unrelated
Spider burrowed through tourist's stomach and up into his chest,1923,disagree
"Accused Boston Marathon Bomber Severely Injured In Prison, May Never Walk Or Talk Again",962,unrelated
Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,1739,agree
British Aid Worker Confirmed Murdered By ISIS,882,unrelated
Gateway Pundit,2327,discuss
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1468,agree
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1003,unrelated
"No, that high school kid didn't make $72 million trading stocks",2132,unrelated
"Soon Marijuana May Lead to Ticket, Not Arrest, in New York",47,discuss
Vandals add rude paint job to $2.5m Bugatti (but luckily for the owner it all turned out to be a hoax),615,unrelated
Boko Haram Denies Nigeria Cease-Fire Claim,2463,discuss
"No, Robert Plant Didn’t Rip Up an $800 Million Contract",295,agree
ISIL Beheads American Photojournalist in Iraq,608,discuss
Tropical spider burrows under man's skin through scar,1500,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,1681,discuss
NBC's Tom Brokaw reportedly wants Brian Williams fired over fabricated Iraq helicopter story,1545,unrelated
Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,1196,unrelated
Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,633,agree
"Luke Somers Dies In Rescue Attempt, Sister Says; Yemeni Defense Ministry Says Unnamed US Hostage Freed",56,unrelated
Christian Bale Exits Steve Jobs Movie (Exclusive),1658,unrelated
Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,2327,unrelated
Report: Christian Bale Just Bailed on the Steve Jobs Movie,1157,discuss
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,132,unrelated
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1896,discuss
"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",2344,unrelated
"SEE IT: ISIS militants caught trying to cross border into Texas, Congressman claims",625,unrelated
"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",2176,unrelated
Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,394,discuss
Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,2161,agree
Would-be rapist has penis severed by angry mob,1040,unrelated
Taylor Lianne Chandler: Michael Phelps' Cougar Girlfriend Revealed?,1337,unrelated
"At CBS Detroit, Fan Site 'Scuttlebutt' Is Enough to Publish Batmobile Rumor",280,unrelated
Seth Rogen Is Woz,213,unrelated
