Headline,Body ID,Stance,actual,predicted,prob_0,prob_1,prob_2,prob_3
Police find mass graves with at least '15 bodies' near Mexico town where 43 students disappeared after police clash,712,unrelated,unrelated,unrelated,1.08757376438e-08,3.35683232322e-08,4.31238191823e-07,0.999999523163
'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,154,agree,agree,agree,0.997589707375,0.00156247767154,0.000845434260555,2.39079804487e-06
Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,2033,unrelated,unrelated,unrelated,2.65474700001e-08,6.48435829476e-08,3.00076408166e-06,0.999996900558
N. Korea’s Kim has leg injury but in control,570,unrelated,unrelated,unrelated,6.69898980732e-09,2.71741651403e-09,9.463240076e-07,0.999999046326
NET Extra: Back-from-the-dead Catholic priest claims God is a female,1014,agree,agree,agree,0.986938118935,0.0025186559651,0.00186853960622,0.00867461320013
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1251,unrelated,unrelated,unrelated,1.37744663675e-07,6.96126978283e-09,5.82232217994e-08,0.999999761581
Nasa questions whether crater in Nicaragua caused by meteorite,534,unrelated,unrelated,unrelated,1.5383180596e-07,5.12529005903e-08,1.9682539687e-07,0.999999642372
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",1299,unrelated,unrelated,unrelated,2.55030290219e-08,3.84068705728e-08,4.99009935595e-08,0.999999880791
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",289,unrelated,unrelated,unrelated,9.02297688299e-05,1.44516125147e-05,1.90153070889e-06,0.999893426895
Rumors of ISIS leader's death debunked,1255,unrelated,unrelated,unrelated,1.31812214477e-06,3.03686931602e-07,2.27743166761e-05,0.999975562096
Nigeria and Boko Haram 'agree ceasefire and girls' release',459,unrelated,unrelated,unrelated,4.27678372716e-08,4.16044052542e-08,3.48062030753e-06,0.999996423721
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,759,agree,agree,agree,0.999540686607,5.65825612284e-05,0.000392829737393,9.87799921859e-06
"Why the Gold Apple Watch Edition Must Cost $10,000",816,unrelated,unrelated,unrelated,5.05149078123e-09,1.78684089747e-09,7.65204362096e-08,0.999999880791
Amazon's first brick-and-mortar store said to open in Manhattan,1934,unrelated,unrelated,unrelated,1.87288620168e-08,3.68099506431e-09,6.17724253971e-07,0.999999403954
"UPDATE: Soldier, gunman who died in Ottawa rampage identified",205,unrelated,unrelated,unrelated,3.56839166216e-07,9.59352206564e-08,5.35754168141e-07,0.999999046326
Mystery woman behind the 'richest hands on the internet' revealed: Former pornstar 'makes $5m a year unwrapping Disney toys on YouTube',1315,agree,agree,discuss,0.359360009432,0.0311974920332,0.609152197838,0.000290332915029
Jihadi John identity revealed as Mohammed Emwazi: live,2033,unrelated,unrelated,unrelated,1.35166061455e-07,6.84106922222e-08,4.75190063298e-07,0.999999284744
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1125,unrelated,unrelated,unrelated,4.19958468001e-08,5.35391109224e-08,8.70784333529e-08,0.999999761581
Former PGA Tour player: Tiger Woods suspended for drug test failure,2240,unrelated,unrelated,unrelated,1.28894734885e-08,1.93829574613e-09,3.71462078874e-08,1.0
Priest who died for 48 minutes says he met God and she’s a woman,1720,unrelated,unrelated,unrelated,3.83042106478e-06,1.06601675043e-07,5.32104650119e-06,0.999990701675
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1358,unrelated,unrelated,unrelated,1.98407815333e-06,5.16503568804e-08,1.41200786175e-07,0.999997854233
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",346,unrelated,unrelated,unrelated,5.48242233833e-08,3.58381413434e-08,4.12960525864e-06,0.999995827675
Kim Jong-un 'set to open a new restaurant in SCOTLAND',1406,unrelated,unrelated,unrelated,1.07811422012e-08,8.3488682634e-09,4.53089569419e-06,0.999995470047
"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",1958,agree,agree,discuss,0.47278663516,0.000118385833048,0.527039647102,5.52952587896e-05
Seth Rogen reported to play Woz in the upcoming Steve Jobs movie,1966,unrelated,unrelated,unrelated,1.59626615641e-05,1.06517495624e-06,8.19388733362e-05,0.99990105629
Scientists Doubt That Meteor Caused Crater In Nicaragua,731,unrelated,unrelated,unrelated,2.78424010958e-07,2.1815031559e-08,3.16631667374e-06,0.999996542931
Video: Marine saved by helmet after Taliban sniper attack,488,agree,agree,agree,0.999656915665,2.05742671824e-05,0.000322397856507,9.83742225458e-08
